disease,specialty,_disease_key,alternate_specialty,mapping_confidence,mapping_status,source_organization,source_url,source_type,requires_emergency_triage,mapping_note
Tonsillitis,Otolaryngologist,tonsillitis,,High,retained,ENT Health / AAO-HNS,https://www.enthealth.org/conditions/tonsillitis/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Deep Vein Thrombosis,Phlebologist,deep vein thrombosis,Vascular Surgeon; Hematologist,Medium,retained_with_caveat,Society for Vascular Surgery (SVS),https://vascular.org/referring-physicians/conditions/vascular-health-flyers,authoritative professional/clinical reference,yes,The legacy classifier label Phlebologist is retained; vascular medicine/surgery and hematology are common real-world pathways.
Varicose Veins,Phlebologist,varicose veins,Vascular Surgeon,High,retained_with_caveat,Society for Vascular Surgery (SVS),https://vascular.org/referring-physicians/conditions/vascular-health-flyers,authoritative professional/clinical reference,no,The legacy classifier label Phlebologist is retained; vascular specialists commonly manage venous disease.
Anxiety Disorder,Psychiatrist,anxiety disorder,,High,retained,American Psychiatric Association (APA),https://www.psychiatry.org/patients-families,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Bipolar Disorder,Psychiatrist,bipolar disorder,,High,retained,American Psychiatric Association (APA),https://www.psychiatry.org/patients-families,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Major Depression,Psychiatrist,major depression,,High,retained,American Psychiatric Association (APA),https://www.psychiatry.org/patients-families,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Aspiration Pneumonia,Pulmonologist,aspiration pneumonia,Infectious Disease; Internal Medicine,Medium,retained_with_caveat,American Thoracic Society (ATS),https://www.thoracic.org/professionals/clinical-resources/disease-related-resources/,authoritative professional/clinical reference,no,Pulmonology is useful for aspiration/lung complications; acute infection may be managed by hospital medicine or infectious disease.
Bronchial Asthma,Pulmonologist,bronchial asthma,,High,retained,American Thoracic Society (ATS),https://www.thoracic.org/professionals/clinical-resources/disease-related-resources/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Bronchitis,Pulmonologist,bronchitis,,High,retained,American Thoracic Society (ATS),https://www.thoracic.org/professionals/clinical-resources/disease-related-resources/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Bronchospasm,Pulmonologist,bronchospasm,,High,retained,American Thoracic Society (ATS),https://www.thoracic.org/professionals/clinical-resources/disease-related-resources/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
COPD,Pulmonologist,copd,,High,retained,American Thoracic Society (ATS),https://www.thoracic.org/professionals/clinical-resources/disease-related-resources/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Emphysema,Pulmonologist,emphysema,,High,retained,American Thoracic Society (ATS),https://www.thoracic.org/professionals/clinical-resources/disease-related-resources/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Pneumonia,Pulmonologist,pneumonia,Infectious Disease; Internal Medicine,Medium,retained_with_caveat,American Thoracic Society (ATS),https://www.thoracic.org/professionals/clinical-resources/disease-related-resources/,authoritative professional/clinical reference,no,Pulmonology is appropriate for complicated/recurrent lung disease; general/internal or infectious-disease care is common for acute pneumonia.
Pulmonary Embolism,Pulmonologist,pulmonary embolism,Emergency Medicine; Hematologist; Cardiologist,Medium,retained_with_caveat,American Thoracic Society (ATS),https://www.thoracic.org/professionals/clinical-resources/disease-related-resources/,authoritative professional/clinical reference,yes,Acute pulmonary embolism requires urgent care; pulmonology is retained as the pulmonary vascular specialty label.
Pulmonary Hypertension,Pulmonologist,pulmonary hypertension,,High,retained,American Thoracic Society (ATS),https://www.thoracic.org/professionals/clinical-resources/disease-related-resources/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Tuberculosis,Pulmonologist,tuberculosis,Infectious Disease,Medium,retained_with_caveat,American Thoracic Society (ATS),https://www.thoracic.org/professionals/clinical-resources/disease-related-resources/,authoritative professional/clinical reference,no,Pulmonary TB is commonly co-managed by pulmonary and infectious-disease specialists.
Arthritis,Rheumatologist,arthritis,,High,retained,American College of Rheumatology (ACR),https://rheumatology.org/patients/diseases-and-conditions,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Fibromyalgia,Rheumatologist,fibromyalgia,,High,retained,American College of Rheumatology (ACR),https://rheumatology.org/patients/diseases-and-conditions,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Gout,Rheumatologist,gout,,High,retained,American College of Rheumatology (ACR),https://rheumatology.org/patients/gout,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Lupus,Rheumatologist,lupus,,High,retained,American College of Rheumatology (ACR),https://rheumatology.org/patients/diseases-and-conditions,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Benign Prostatic Hyperplasia,Urologist,benign prostatic hyperplasia,,High,retained,Urology Care Foundation / American Urological Association,https://www.urologyhealth.org/educational-resources,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Kidney Stones,Urologist,kidney stones,Nephrologist,High,corrected,Urology Care Foundation / American Urological Association,https://www.urologyhealth.org/educational-resources,authoritative professional/clinical reference,no,Stone diagnosis/procedural management is primarily urologic; nephrology may assist with metabolic prevention.
Prostate Cancer,Urologist,prostate cancer,Oncologist,High,retained_with_caveat,Urology Care Foundation / American Urological Association,https://www.urologyhealth.org/educational-resources,authoritative professional/clinical reference,no,Urology is commonly the initial specialty for prostate diagnosis and local treatment; oncology may join for systemic cancer treatment.
Pyelonephritis,Urologist,pyelonephritis,Infectious Disease; Nephrologist,Medium,corrected,Urology Care Foundation / American Urological Association,https://www.urologyhealth.org/educational-resources,authoritative professional/clinical reference,no,Acute kidney/upper urinary infection may be managed by several services; urology is selected for the classifier urinary-tract pathway.
Urinary Incontinence,Urologist,urinary incontinence,,High,retained,Urology Care Foundation / American Urological Association,https://www.urologyhealth.org/educational-resources,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Urinary Tract Infection,Urologist,urinary tract infection,Internal Medicine,Medium,retained_with_caveat,Urology Care Foundation / American Urological Association,https://www.urologyhealth.org/educational-resources,authoritative professional/clinical reference,no,Uncomplicated UTI is usually managed in primary/general medicine; urology is more appropriate for recurrent/complicated disease.
